t,S,I,R
0.10235790164457732,90,10,0
0.2539216017161625,89,11,0
0.7902229129309812,88,12,0
0.8093531008166643,87,13,0
0.8173115348401568,86,14,0
0.8687693167467541,85,15,0
0.8746965568071363,85,14,0
0.8754726467008196,84,15,0
1.0562796711049955,83,16,0
1.0852496056268075,82,17,0
1.1694540058462173,82,16,0
1.2870299984702287,82,15,0
1.4184649674533663,81,16,0
1.6474842954517974,80,17,0
1.9390747770256194,79,18,0
1.9797240701332757,78,19,0
2.034256918751499,78,18,0
2.096927955991039,77,19,0
2.4350810631847772,76,20,0
2.577134270047988,75,21,0
2.6439959456846687,75,20,1
2.749447881209627,75,19,1
2.869522239556674,74,20,1
2.8759793202229385,73,21,1
3.1239770409833154,72,22,1
3.3894205340938353,71,23,1
3.430908610372758,70,24,1
3.4685486571973123,69,25,1
3.5724497978261467,68,26,1
3.617076722953558,67,27,1
3.7117238280172025,66,28,1
3.7469834691024118,65,29,1
3.9055277462112956,64,30,1
3.9503178404002743,63,31,1
4.099958857645515,62,32,1
4.126639085370046,62,31,1
4.187625436705482,61,32,1
4.194708710881927,60,33,1
4.312388623006863,59,34,1
4.313682556456991,58,35,1
4.354349121690259,57,36,1
4.631796259030949,56,37,1
4.642352689885403,55,38,1
4.762485612984689,55,37,1
4.812890003521956,55,36,1
4.821400094373694,55,35,2
4.841657078679444,55,34,3
4.9168984318686695,54,35,3
5.045010078410309,53,36,3
5.123178935471999,53,35,4
5.299454261412968,52,36,4
5.320313692866174,51,37,4
5.340397340241865,50,38,4
5.386758163051871,49,39,4
5.484669362271635,48,40,4
5.5263678009848105,47,41,4
5.814446313836108,46,42,4
5.864225082870843,45,43,4
5.97654297954291,44,44,4
6.000998406066605,43,45,4
6.008548966347123,43,44,4
6.082576176448251,42,45,4
6.085588040689747,42,44,5
6.166638999127928,42,43,5
6.262180169965168,42,42,5
6.269873886455394,42,41,5
6.295245560427532,41,42,5
6.431411114890959,40,43,5
6.508985894752688,39,44,5
6.540234069800928,38,45,5
6.5549845005823375,37,46,5
6.683029704068592,36,47,5
6.725783299845956,35,48,5
6.767633211448443,35,47,5
6.8631524514644,35,46,5
